,Tweet Id,Text,UTC,Created At,Favorites,Retweets,color,member
0,1545346987746201602,"[お知らせ]
本日の《Hi! JO1》は
お休みとさせていただきます。
次回は7/15(金)の投稿を予定しております。",2022-07-08T10:00:07.000Z,Fri Jul 08 10:00:07 +0000 2022,22703,4516,orange,Group
1,1545067313082564608,"NHK Eテレ
《 ハングルッ!ナビ 》
#河野純喜 が
出演させていただきました！

ありがとうございました！ 

#JO1 https://t.co/RqLE5lQQc1",2022-07-07T15:28:48.000Z,Thu Jul 07 15:28:48 +0000 2022,20552,5294,deepskyblue,Kono Junki
2,1545066306403442688,"日本テレビ系
《 秘密のケンミンSHOW 》に
#與那城奨 が
出演させていただきました！

ありがとうございました！

#JO1 https://t.co/oCa0vc83gb",2022-07-07T15:24:48.000Z,Thu Jul 07 15:24:48 +0000 2022,22442,5850,green,Yonashiro Sho
3,1545049469502181377,"[#白岩瑠姫]
彦星の髪色ガチャ🎋🌌

#JO1 #SHIROIWARUKI https://t.co/ZVJV24SBXN",2022-07-07T14:17:53.000Z,Thu Jul 07 14:17:53 +0000 2022,39312,10208,silver,Shiroiwa Ruki
4,1545008470646456320,"準備しています！
少しお待ちください🙌🏻 https://t.co/zJszrtNJxh",2022-07-07T11:34:58.000Z,Thu Jul 07 11:34:58 +0000 2022,15453,3949,orange,Group
5,1545002436732997632,"[📢] JO1×フジテレビ 
新冠番組 “地上波4週連続” 放送決定! 

＜ JO1CX-TV ＞
8月19日(金)より放送スタート！
お見逃しなく👀💥

▼詳細
https://t.co/S65ZHvHNk7

#JO1 #JO1CXTV",2022-07-07T11:11:00.000Z,Thu Jul 07 11:11:00 +0000 2022,23748,8385,orange,Group
6,1544992117683916800,"[📢] 今日7/7(木) 20:30~
少しだけInstaliveします🥸✨

フォローしてお待ちくださいね！
https://t.co/LBX2JZY4xV

Come and check our Instalive from Korea!

 #JO1",2022-07-07T10:30:00.000Z,Thu Jul 07 10:30:00 +0000 2022,19859,6436,orange,Group
7,1544923085396398080,"[#JO1]
Hi JAM〜🌻
今日も1日たのしもうね！

하트 보낼게용 ☺︎💛뿅~~ https://t.co/NdzSEmfJ1w",2022-07-07T05:55:41.000Z,Thu Jul 07 05:55:41 +0000 2022,34498,9178,orange,Group
8,1544886423660232706,"[🙋🏻‍♂️7/7(木) 出演情報 ]

▫️21:00- 日本テレビ系
《 秘密のケンミンSHOW 》
與那城奨

▫️23:00- NHK Eテレ
《 ハングルッ!ナビ 》
河野純喜

#JO1",2022-07-07T03:30:00.000Z,Thu Jul 07 03:30:00 +0000 2022,13853,4053,deepskyblue,Kono Junki
9,1544713240810520576,"ニッポン放送
《 #JO1 のオールナイトニッポンX 》

今週は
#大平祥生 #白岩瑠姫 #金城碧海
でお送りさせていただきました🤠

ありがとうございました！

#JO1ANNX https://t.co/gYhQmJblpQ",2022-07-06T16:01:50.000Z,Wed Jul 06 16:01:50 +0000 2022,20272,5698,gold,Ohira Shosei
10,1544683463252807680,"[#豆原一成]
イェイ
お豆です
おやすみなさい

#JO1 #MAMEHARAISSEI https://t.co/5RgFFmvAFW",2022-07-06T14:03:31.000Z,Wed Jul 06 14:03:31 +0000 2022,32153,8202,red,Mamehara Issei
11,1544670579633971206,"[#河野純喜]
สบายดีมั้ยครับ?
คุณคนผมแดง!
ครับ! สบายดีครับ🎶

#JO1 #KONOJUNKI https://t.co/weiW2Z7O1W",2022-07-06T13:12:19.000Z,Wed Jul 06 13:12:19 +0000 2022,33659,10857,deepskyblue,Kono Junki
12,1544661134111801346,"[🙋🏻‍♂️7/6(水) 出演情報 ]

▫️24:00- ニッポン放送
《 #JO1 のオールナイトニッポンX 》

#JO1ANNX",2022-07-06T12:34:47.000Z,Wed Jul 06 12:34:47 +0000 2022,12050,3602,orange,Group
13,1544652577266352130,"[JO1 BEHIND] KCON 2022 Premiere
(https://t.co/MbjHAPiT4I)

#JO1 https://t.co/8zncyoWTgf",2022-07-06T12:00:47.000Z,Wed Jul 06 12:00:47 +0000 2022,21781,7124,orange,Group
14,1544559961123893248,"สวัสดีครับ พวกเรา JO1
จากรายการ PRODUCE 101 JAPAN ครับ!

ตอนนี้พวกผมก็สนิทกันดีครับ!

อยากเจอแฟนๆชาวไทยทุกๆคนเร็วๆแล้วครับ🥰

#JO1 #อยากให้ประเทศไทยรู้JO1 https://t.co/xNOKMwpEFh",2022-07-06T05:52:45.000Z,Wed Jul 06 05:52:45 +0000 2022,35706,16014,orange,Group
